Sample ID,Family ID,Sex,Population,Superpopulation,Repository,BaseSpace link,ENA link,Coriell link,Affected,References
HG00656,SH074,M,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282559/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955478,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00656,NA,1kg_phase3;1kg_GRCh38
HG00657,SH074,F,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283448/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955484,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00657,NA,1kg_phase3;1kg_GRCh38
HG00662,SH076,M,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284615/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955507,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00662,NA,1kg_phase3;1kg_GRCh38
HG00663,SH076,F,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284616/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955495,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00663,NA,1kg_phase3;1kg_GRCh38
HG00683,SH083,M,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282560/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955540,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00683,NA,1kg_phase3;1kg_GRCh38
HG00684,SH083,F,CHS,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/284617/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955437,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG00684,NA,1kg_phase3;1kg_GRCh38
HG02016,VN46,F,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282566/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955417,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02016,NA,1kg_phase3;1kg_GRCh38
HG02017,VN46,M,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283456/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955409,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02017,NA,1kg_phase3;1kg_GRCh38
HG02069,VN64,F,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/283457/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955456,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02069,NA,1kg_phase3;1kg_GRCh38
HG02070,VN64,M,KHV,EAS,NHGRI,EU=https://euc1.sh.basespace.illumina.com/biosamples/282567/datasets,https://www.ebi.ac.uk/ena/data/view/ERR1955422,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=HG02070,NA,1kg_phase3;1kg_GRCh38
